            JDTDB,            Calendar Date (TDB),                     EC,                     QR,                     IN,                     OM,                      W,                     Tp,                      N,                     MA,                     TA,                      A,                     AD,                     PR,
**************************************************************************************************************************************************************************************************************************************************************************************************************************************************
$$SOE
2459222.572000000, A.D. 2021-Jan-08 01:43:40.8000,  3.613359406831140E-02,  1.327294816151282E-05,  1.128957858302925E+02,  2.274022380744009E+02,  3.286904867102042E+02,  2.459219599523997E+06,  6.053617877003869E+01,  1.799423386964439E+02,  1.799463253463486E+02,  1.377052678652388E-05,  1.426810541153495E-05,  5.946857025243482E+00,
2459233.530000000, A.D. 2021-Jan-19 00:43:12.0000,  3.586841689436556E-02,  1.327726476138829E-05,  1.128957450098649E+02,  2.274022213727142E+02,  2.265527822766246E+02,  2.459230561416114E+06,  6.053163104093174E+01,  1.796932244644178E+02,  1.797142856035225E+02,  1.377121649580229E-05,  1.426516823021629E-05,  5.947303811400134E+00,
2459244.488000000, A.D. 2021-Jan-29 23:42:43.2000,  3.582385905628797E-02,  1.328038031877396E-05,  1.128957826485966E+02,  2.274022212825628E+02,  1.234800870669210E+02,  2.459247455967694E+06,  6.051452616763088E+01,  1.803948413028627E+02,  1.803677664627623E+02,  1.377381139692531E-05,  1.426724247507665E-05,  5.948984860308853E+00,
2459255.446000000, A.D. 2021-Feb-09 22:42:14.4000,  3.636561030243016E-02,  1.326518251114206E-05,  1.128957459710170E+02,  2.274022459492616E+02,  2.149144483898401E+01,  2.459252474130335E+06,  6.056746907480706E+01,  1.799986240025712E+02,  1.799987197220153E+02,  1.376578363429437E-05,  1.426638475744669E-05,  5.943784765966742E+00,
2459266.404000000, A.D. 2021-Feb-20 21:41:45.6000,  3.581097829816122E-02,  1.328217758570203E-05,  1.128957624349089E+02,  2.274022124267998E+02,  2.794549908113815E+02,  2.459263434669915E+06,  6.050345628242986E+01,  1.796547330072088E+02,  1.796784003568434E+02,  1.377549140961838E-05,  1.426880523353473E-05,  5.950073303573298E+00,
2459277.362000000, A.D. 2021-Mar-03 20:41:16.8000,  3.591612051089320E-02,  1.327492943743448E-05,  1.128957578581920E+02,  2.274022519935949E+02,  1.765360366643381E+02,  2.459280331780833E+06,  6.054311118345174E+01,  1.802002288691673E+02,  1.801864649783531E+02,  1.376947558180229E-05,  1.426402172617010E-05,  5.946176087799050E+00,
2459288.320000000, A.D. 2021-Mar-14 19:40:48.0000,  3.605080786341378E-02,  1.327490671205293E-05,  1.128957438167456E+02,  2.274022206467171E+02,  7.423897801856857E+01,  2.459291291871956E+06,  6.053057979581412E+01,  1.801108674011363E+02,  1.801032189355638E+02,  1.377137594008373E-05,  1.426784516811453E-05,  5.947407099260845E+00,
2459299.278000000, A.D. 2021-Mar-25 18:40:19.2000,  3.613941478334947E-02,  1.327287413941069E-05,  1.128957645745772E+02,  2.274022473211317E+02,  3.320087132630208E+02,  2.459296305089405E+06,  6.053613681749775E+01,  1.799685225411395E+02,  1.799706991995235E+02,  1.377053314865789E-05,  1.426819215790510E-05,  5.946861146513455E+00,
2459310.236000000, A.D. 2021-Apr-05 17:39:50.4000,  3.590812566590855E-02,  1.327595510246344E-05,  1.128957343735529E+02,  2.274022363241635E+02,  2.299155494345533E+02,  2.459307267982028E+06,  6.053684823083648E+01,  1.796744535064155E+02,  1.796968269976200E+02,  1.377042526329069E-05,  1.426489542411793E-05,  5.946791260543720E+00,
2459321.194000000, A.D. 2021-Apr-16 16:39:21.6000,  3.577989011707731E-02,  1.328177450812086E-05,  1.128957643286425E+02,  2.274022396599653E+02,  1.268645731611917E+02,  2.459324162914087E+06,  6.050913691792612E+01,  1.803535710248705E+02,  1.803293545936332E+02,  1.377462922831340E-05,  1.426748394850594E-05,  5.949514706982182E+00,
2459332.152000000, A.D. 2021-Apr-27 15:38:52.8000,  3.634259791141210E-02,  1.326597893714945E-05,  1.128957323299900E+02,  2.274022568750740E+02,  2.477088972578295E+01,  2.459335122988745E+06,  6.056418430428759E+01,  1.800644901110346E+02,  1.800600066575695E+02,  1.376628136555311E-05,  1.426658379395678E-05,  5.944107134198026E+00,
2459343.110000000, A.D. 2021-May-08 14:38:24.0000,  3.588516070427986E-02,  1.327969724363497E-05,  1.128957528895566E+02,  2.274022325592589E+02,  2.828038567875663E+02,  2.459340141240034E+06,  6.051342374571286E+01,  1.796498298058884E+02,  1.796738808380861E+02,  1.377397868218241E-05,  1.426826012072985E-05,  5.949093237771142E+00,
2459354.068000000, A.D. 2021-May-19 13:37:55.2000,  3.588071336851901E-02,  1.327616388717147E-05,  1.128957407473740E+02,  2.274022720963038E+02,  1.799416689881294E+02,  2.459357039066618E+06,  6.053800205653756E+01,  1.801375629690415E+02,  1.801281156936215E+02,  1.377025029087098E-05,  1.426433669457049E-05,  5.946677917513520E+00,
